day,entry_px,exit_px,shares,ret_bp,pnl,qty,reason_out
2017-08-31,138.38,138.88,86.7,35.4,42.49,1,open
2017-09-01,139.78,139.94,85.8,11.4,13.74,1,open
2017-09-06,139.22,139.71,86.2,35.2,42.24,1,open
2017-09-07,139.48,139.56,86.0,5.0,6.02,1,open
2017-09-08,139.13,138.9,86.2,-17.2,-20.7,1,open
2017-09-12,140.72,141.0,85.3,19.9,23.88,1,open
2017-09-13,141.57,141.38,84.8,-14.1,-16.95,1,open
2017-09-14,142.0,141.75,84.5,-18.3,-21.97,1,open
2017-09-15,141.88,141.6,84.6,-19.0,-22.84,1,open
2017-09-19,143.44,143.53,83.7,6.3,7.53,1,open
2017-09-20,143.4,143.5,83.7,7.0,8.37,1,open
2017-09-21,143.9,143.99,83.4,6.3,7.51,1,open
2017-09-22,143.74,143.62,83.5,-8.0,-9.6,1,open
2017-09-26,144.54,144.22,83.0,-22.1,-26.57,1,open
2017-09-27,144.65,145.59,83.0,65.7,78.81,1,open
2017-09-28,147.48,147.21,81.4,-19.0,-22.78,1,open
2017-09-29,147.9,147.88,81.1,-0.7,-0.81,1,open
2017-10-03,150.01,150.08,80.0,4.0,4.8,1,open
2017-10-04,150.35,150.03,79.8,-21.3,-25.54,1,open
2017-10-05,149.88,150.25,80.1,24.7,29.62,1,open
2017-10-06,150.26,149.68,79.9,-39.3,-47.12,1,open
2017-10-10,149.45,149.9,80.3,29.4,35.33,1,open
2017-10-11,149.88,149.91,80.1,1.3,1.6,1,open
2017-10-12,149.76,149.44,80.1,-22.0,-26.44,1,open
2017-10-13,149.66,149.88,80.2,14.7,17.64,1,open
2017-10-17,149.28,149.24,80.4,-3.3,-4.02,1,open
2017-10-18,148.82,149.47,80.6,43.0,51.6,1,open
2017-10-19,149.56,148.72,80.2,-56.2,-67.4,1,open
2017-10-20,149.32,150.28,80.4,63.6,76.34,1,open
2017-10-24,148.88,149.35,80.6,31.6,37.88,1,open
2017-10-25,149.2,148.91,80.4,-20.1,-24.13,1,open
2017-10-26,148.47,148.91,80.8,29.6,35.56,1,open
2017-10-27,148.81,148.84,80.6,1.3,1.61,1,open
2017-10-31,148.22,148.75,81.0,35.8,42.91,1,open
2017-11-01,149.31,150.47,80.4,77.0,92.42,1,open
2017-11-02,148.35,148.21,80.9,-10.1,-12.13,1,open
2017-11-03,148.76,148.44,80.7,-22.2,-26.62,1,open
2017-11-07,148.84,148.77,80.6,-5.4,-6.45,1,open
2017-11-08,147.06,146.62,81.6,-29.9,-35.9,1,open
2017-11-09,147.25,146.25,81.5,-68.6,-82.31,1,open
2017-11-10,146.69,146.68,81.8,-1.4,-1.64,1,open
2017-11-14,146.66,146.0,81.8,-44.3,-53.19,1,open
2017-11-15,146.26,145.31,82.0,-65.0,-77.94,1,open
2017-11-16,145.66,146.18,82.4,35.0,42.01,1,open
2017-11-17,147.82,147.22,81.2,-41.3,-49.52,1,open
2017-11-21,149.56,150.16,80.2,40.1,48.14,1,open
2017-11-22,151.12,151.25,79.4,7.9,9.53,1,open
2017-11-24,150.91,151.18,79.5,17.2,20.67,1,open
2017-11-28,150.5,150.99,79.7,32.6,39.07,1,open
2017-11-29,152.91,153.3,78.5,24.9,29.82,1,open
2017-11-30,153.41,154.06,78.2,42.4,50.84,1,open
2017-12-01,153.62,153.62,78.1,-0.7,-0.78,1,open
2017-12-05,152.47,152.91,78.7,28.9,34.63,1,open
2017-12-06,150.97,150.78,79.5,-11.9,-14.31,1,open
2017-12-07,150.26,150.28,79.9,1.3,1.6,1,open
2017-12-08,151.31,151.85,79.3,36.4,43.62,1,open
2017-12-12,151.37,151.66,79.3,19.8,23.78,1,open
2017-12-13,150.92,150.78,79.5,-9.9,-11.93,1,open
2017-12-14,151.81,151.81,79.0,0.7,0.79,1,open
2017-12-15,150.12,151.05,79.9,61.3,73.54,1,open
2017-12-19,154.32,154.72,77.8,25.3,30.33,1,open
2017-12-20,153.12,153.72,78.4,38.5,46.24,1,open
2017-12-21,153.41,153.19,78.2,-13.7,-16.43,1,open
2017-12-22,153.5,153.34,78.2,-9.8,-11.73,1,open
2017-12-27,153.31,153.18,78.3,-9.1,-10.96,1,open
2017-12-28,153.16,153.22,78.3,3.9,4.7,1,open
2017-12-29,153.78,154.12,78.0,22.1,26.53,1,open
2018-01-03,154.0,153.84,77.9,-10.4,-12.47,1,open
2018-01-04,154.09,154.94,77.9,54.5,65.41,1,open
2018-01-05,154.48,154.84,77.7,23.3,27.96,1,open
2018-01-09,155.04,155.21,77.4,10.3,12.38,1,open
2018-01-10,154.88,154.44,77.5,-28.4,-34.09,1,open
2018-01-11,154.85,155.03,77.5,11.6,13.95,1,open
2018-01-12,157.53,157.65,76.2,7.6,9.14,1,open
2018-01-17,156.16,156.77,76.8,38.4,46.11,1,open
2018-01-18,157.66,157.19,76.1,-29.8,-35.77,1,open
2018-01-19,156.57,156.69,76.6,7.7,9.2,1,open
2018-01-23,159.47,159.21,75.3,-16.3,-19.57,1,open
2018-01-24,159.98,160.34,75.0,22.5,27.0,1,open
2018-01-25,158.98,159.6,75.5,39.0,46.8,1,open
2018-01-26,159.06,159.5,75.4,27.0,32.44,1,open
2018-01-30,158.73,157.62,75.6,-69.9,-83.91,1,open
2018-01-31,157.22,157.71,76.3,30.5,36.64,1,open
2018-02-01,156.41,155.69,76.7,-45.4,-54.47,1,open
2018-02-02,156.91,156.09,76.5,-52.3,-62.71,1,open
2018-02-06,148.03,145.5,81.1,-170.9,-205.09,1,open
2018-02-07,149.73,149.58,80.1,-10.7,-12.82,1,open
2018-02-08,149.85,149.97,80.1,7.3,8.81,1,open
2018-02-09,145.48,146.72,82.5,85.2,102.28,1,open
2018-02-13,148.19,147.31,81.0,-58.7,-70.45,1,open
2018-02-14,148.53,147.59,80.8,-62.6,-75.14,1,open
2018-02-15,151.17,152.19,79.4,66.8,80.17,1,open
2018-02-16,152.81,152.63,78.5,-11.8,-14.13,1,open
2018-02-21,152.09,152.38,78.9,19.7,23.67,1,open
2018-02-22,152.28,152.77,78.8,32.5,39.01,1,open
2018-02-23,152.01,152.94,78.9,60.5,72.62,1,open
2018-02-27,155.0,155.15,77.4,9.7,11.61,1,open
