,ONA,ONB,combined
2022-02-11,5.31,-5.22,0.08999999999999986
2022-02-14,0.0,0.0,0.0
2022-02-15,120.76,202.17,322.93
2022-02-16,-48.33,-94.58,-142.91
2022-02-17,-109.86,-155.19,-265.05
2022-02-18,-17.29,-42.18,-59.47
2022-02-22,0.0,0.0,0.0
2022-02-23,92.12,152.0,244.12
2022-02-24,-295.39,-595.35,-890.74
2022-02-25,27.24,89.27,116.50999999999999
2022-02-28,0.0,0.0,0.0
2022-03-01,-28.36,-129.53,-157.89
2022-03-02,80.62,136.65,217.27
2022-03-03,37.58,105.13,142.70999999999998
2022-03-04,-128.43,-244.84,-373.27
2022-03-07,0.0,0.0,0.0
2022-03-08,25.38,4.9,30.28
2022-03-09,201.99,461.37,663.36
2022-03-10,-173.76,-281.49,-455.25
2022-03-11,48.62,127.38,176.0
2022-03-14,0.0,0.0,0.0
2022-03-15,29.23,127.49,156.72
2022-03-16,110.96,198.38,309.34
2022-03-17,-70.72,-109.14,-179.86
2022-03-18,-60.81,-129.79,-190.6
2022-03-21,0.0,0.0,0.0
2022-03-22,43.22,107.85,151.07
2022-03-23,-75.21,-138.07,-213.27999999999997
2022-03-24,25.3,69.65,94.95
2022-03-25,9.33,49.04,58.37
2022-03-28,0.0,0.0,0.0
2022-03-29,101.25,205.97,307.22
2022-03-30,-24.37,-55.39,-79.76
2022-03-31,-28.33,-73.15,-101.48
2022-04-01,52.04,87.54,139.58
2022-04-04,0.0,0.0,0.0
2022-04-05,-8.65,-94.84,-103.49000000000001
2022-04-06,-108.72,-188.56,-297.28
2022-04-07,-8.39,-76.03,-84.42
2022-04-08,-15.64,-18.61,-34.25
2022-04-11,0.0,0.0,0.0
2022-04-12,130.05,77.73,207.78000000000003
2022-04-13,29.21,-38.98,-9.769999999999996
2022-04-14,5.37,52.53,57.9
2022-04-18,-32.27,-39.4,-71.67
2022-04-19,10.32,7.35,17.67
2022-04-20,79.73,122.52,202.25
2022-04-21,107.92,151.1,259.02
2022-04-22,-54.61,-97.88,-152.49
2022-04-25,0.0,0.0,0.0
2022-04-26,-102.71,-178.92,-281.63
2022-04-27,-1.92,106.59,104.67
2022-04-28,139.93,144.99,284.92
2022-04-29,-55.45,-113.85,-169.3
2022-05-02,0.0,0.0,0.0
2022-05-03,-1.28,23.64,22.36
2022-05-04,30.55,29.15,59.7
2022-05-05,-134.46,-193.1,-327.56
2022-05-06,-53.62,-180.35,-233.97
2022-05-09,0.0,0.0,0.0
2022-05-10,175.58,275.89,451.47
2022-05-11,6.86,-7.15,-0.29000000000000004
2022-05-12,-62.57,-143.67,-206.23999999999998
2022-05-13,150.66,172.3,322.96000000000004
2022-05-16,0.0,0.0,0.0
2022-05-17,210.53,279.96,490.49
2022-05-18,-158.81,-203.93,-362.74
2022-05-19,-95.99,-260.13,-356.12
2022-05-20,128.44,113.08,241.51999999999998
2022-05-23,0.0,0.0,0.0
2022-05-24,-113.1,-165.91,-279.01
2022-05-25,-51.25,-118.07,-169.32
2022-05-26,64.41,111.65,176.06
2022-05-27,65.03,39.45,104.48
2022-05-31,0.0,0.0,0.0
2022-06-01,60.88,147.63,208.51
2022-06-02,14.32,9.11,23.43
2022-06-03,-93.47,-205.25,-298.72
2022-06-06,0.0,0.0,0.0
2022-06-07,-104.1,-189.17,-293.27
2022-06-08,-62.23,-114.93,-177.16
2022-06-09,-96.37,-94.25,-190.62
2022-06-10,-205.81,-340.31,-546.12
2022-06-13,0.0,0.0,0.0
2022-06-14,30.32,63.19,93.50999999999999
2022-06-15,114.65,152.64,267.28999999999996
2022-06-16,-284.16,-448.28,-732.44
2022-06-17,36.6,-138.74,-102.14000000000001
2022-06-21,0.0,0.0,0.0
2022-06-22,-159.84,-287.0,-446.84000000000003
2022-06-23,22.16,82.32,104.47999999999999
2022-06-24,91.83,183.72,275.55
2022-06-27,0.0,0.0,0.0
2022-06-28,73.03,115.59,188.62
2022-06-29,-3.48,71.36,67.88
2022-06-30,-179.94,-249.23,-429.16999999999996
2022-07-01,-36.09,-44.82,-80.91
2022-07-05,0.0,0.0,0.0
2022-07-06,-32.62,16.33,-16.29
2022-07-07,86.72,151.13,237.85
2022-07-08,-43.72,-32.97,-76.69
2022-07-11,0.0,0.0,0.0
2022-07-12,-38.36,-92.21,-130.57
2022-07-13,-169.98,-287.1,-457.08000000000004
2022-07-14,-187.67,-381.18,-568.85
2022-07-15,130.14,328.02,458.15999999999997
2022-07-18,0.0,0.0,0.0
2022-07-19,145.29,174.71,320.0
2022-07-20,-6.71,1.45,-5.26
2022-07-21,-74.69,-85.86,-160.55
2022-07-22,22.36,89.71,112.07
2022-07-25,0.0,0.0,0.0
2022-07-26,-48.54,-79.07,-127.60999999999999
2022-07-27,74.27,91.98,166.25
2022-07-28,58.89,27.85,86.74000000000001
2022-07-29,0.65,17.69,18.34
2022-08-01,0.0,0.0,0.0
2022-08-02,-49.36,-77.12,-126.48
2022-08-03,80.84,114.96,195.8
2022-08-04,1.9,-35.74,-33.84
2022-08-05,-125.41,-165.09,-290.5
2022-08-08,0.0,0.0,0.0
2022-08-09,-53.51,-13.31,-66.82
2022-08-10,211.95,324.01,535.96
2022-08-11,104.25,176.0,280.25
2022-08-12,53.15,67.53,120.68
2022-08-15,0.0,0.0,0.0
2022-08-16,-38.19,-44.04,-82.22999999999999
2022-08-17,-138.49,-145.35,-283.84000000000003
2022-08-18,12.75,-5.41,7.34
2022-08-19,-127.25,-158.66,-285.90999999999997
2022-08-22,0.0,0.0,0.0
2022-08-23,14.47,-37.54,-23.07
2022-08-24,-11.31,-18.87,-30.18
2022-08-25,54.87,11.15,66.02
2022-08-26,-8.6,21.4,12.799999999999999
2022-08-29,0.0,0.0,0.0
2022-08-30,32.68,68.05,100.72999999999999
2022-08-31,18.2,23.14,41.34
2022-09-01,-115.09,-102.01,-217.10000000000002
2022-09-02,133.53,191.48,325.01
2022-09-06,0.0,0.0,0.0
2022-09-07,-32.28,-45.67,-77.95
2022-09-08,-103.39,-126.49,-229.88
2022-09-09,99.91,127.91,227.82
2022-09-12,0.0,0.0,0.0
2022-09-13,-311.77,-412.4,-724.17
2022-09-14,19.09,43.53,62.620000000000005
2022-09-15,-79.95,-42.75,-122.7
2022-09-16,-172.4,-331.22,-503.62
2022-09-19,0.0,0.0,0.0
2022-09-20,-121.62,-190.57,-312.19
2022-09-21,82.19,106.36,188.55
2022-09-22,-28.05,-22.1,-50.150000000000006
2022-09-23,-173.58,-209.68,-383.26
2022-09-26,0.0,0.0,0.0
2022-09-27,154.98,157.13,312.11
2022-09-28,70.65,75.78,146.43
2022-09-29,-158.13,-156.56,-314.69
2022-09-30,-28.17,-84.21,-112.38
2022-10-03,0.0,0.0,0.0
2022-10-04,216.68,293.32,510.0
2022-10-05,-185.35,-263.25,-448.6
2022-10-06,-65.91,-104.81,-170.72
