day,side,notional,entry_ts,entry_s,exit_ts,exit_s,pnl,reason_out,costs,qty
2022-12-06,1,60000,2022-12-06 09:30:00-06:00,-0.00554,2022-12-06 14:52:00-06:00,-0.00624,-24.0,flatten,21.69,1
2022-12-13,1,60000,2022-12-13 11:00:00-06:00,-0.00511,2022-12-13 11:30:00-06:00,-0.00875,-208.9,stop,21.28,1
2022-12-15,1,60000,2022-12-15 09:30:00-06:00,-0.00341,2022-12-15 12:00:00-06:00,-0.00634,-163.26,stop,21.98,1
2022-12-19,1,60000,2022-12-19 09:30:00-06:00,-0.00486,2022-12-19 14:52:00-06:00,-0.00568,-118.06,flatten,22.45,1
2022-12-22,1,60000,2022-12-22 09:30:00-06:00,-0.00637,2022-12-22 14:52:00-06:00,-0.0073,-33.02,flatten,22.8,1
2022-12-27,1,60000,2022-12-27 09:30:00-06:00,-0.00465,2022-12-27 14:52:00-06:00,-0.00841,-209.43,flatten,22.72,1
2023-01-03,1,60000,2023-01-03 09:30:00-06:00,-0.0063,2023-01-03 14:52:00-06:00,-0.00649,-8.57,flatten,22.8,1
2023-01-04,1,60000,2023-01-04 09:30:00-06:00,-0.00686,2023-01-04 14:52:00-06:00,-0.00465,64.79,flatten,22.8,1
2023-01-06,-1,53567,2023-01-06 13:00:00-06:00,0.00573,2023-01-06 14:52:00-06:00,0.00634,-35.01,flatten,20.07,1
2023-01-09,-1,60000,2023-01-09 09:30:00-06:00,0.00629,2023-01-09 12:30:00-06:00,0.00997,-213.78,stop,22.14,1
2023-01-20,-1,57471,2023-01-20 13:00:00-06:00,0.00645,2023-01-20 14:52:00-06:00,0.00691,-28.62,flatten,20.92,1
2023-01-23,-1,60000,2023-01-23 09:30:00-06:00,0.00604,2023-01-23 14:52:00-06:00,0.00947,-201.42,flatten,21.47,1
2023-01-27,-1,60000,2023-01-27 09:30:00-06:00,0.00476,2023-01-27 12:30:00-06:00,0.00856,-234.81,stop,21.04,1
2023-01-30,1,60000,2023-01-30 09:30:00-06:00,-0.00529,2023-01-30 14:52:00-06:00,-0.00417,110.45,flatten,21.17,1
2023-01-31,-1,60000,2023-01-31 10:30:00-06:00,0.00395,2023-01-31 14:30:00-06:00,0.00189,125.61,reverted,21.18,1
2023-02-01,-1,58880,2023-02-01 14:00:00-06:00,0.00644,2023-02-01 14:52:00-06:00,0.00873,-158.64,flatten,20.43,1
2023-02-02,-1,60000,2023-02-02 09:30:00-06:00,0.00462,2023-02-02 12:00:00-06:00,0.00781,-195.45,stop,20.4,1
